gs://inzynierka4-bucket1/plant-village2/good/12826416-efc5-49d3-b615-731629c95435___RS_Early.B 7215.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/48ed1384-b3c5-464d-bdc8-97b347d89a58___RS_Early.B 6744.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/2c5500a4-cfa4-4b46-8db4-443b995d39dd___RS_Early.B 8768.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/af0ee942-50f5-43a7-a9fe-486ba1f5f989___RS_Early.B 7700.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/51f13c93-c8b6-4542-a81b-cb1a2e83f179___RS_Early.B 7684.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/524142aa-78fb-4fab-895c-ddb993d07479___RS_Early.B 7435.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/bcf169b0-dea7-49eb-b976-4a2d1f36c574___RS_Early.B 7870.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/63f59fdf-973f-4d9e-a1ac-4a21cdfb9393___RS_Early.B 8794.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/cb5241ed-1a40-488a-9236-64ed07e6ebbf___RS_Early.B 6712.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/838c8a0a-d112-4940-9a5d-221b4e9cc4c8___RS_Early.B 6967.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/bb38077f-ee91-4c0b-af46-f90b21b9e9db___RS_Early.B 7121.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/aa7e5986-6fa1-4b25-9861-cbae56886280___RS_Early.B 8545.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/7248171d-98a5-4bf0-9a8d-5c5a8820eba9___RS_Early.B 6680.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/c9296b35-7b8b-4ac2-99db-07c426ec774b___RS_Early.B 6832.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/107827b3-faa5-457c-97fd-3e34d2657f6b___RS_Early.B 7162.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/af3bb3a3-e022-45f3-b209-6b3b53f13a47___RS_Early.B 7333.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/654aaf22-e23a-441d-ad57-914843a36c64___RS_Early.B 7924.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/b6c68639-ad01-41f9-a10c-4233423ea2b0___RS_Early.B 8573.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/4d943ff8-e048-43c6-8861-4cdc6adab6a0___RS_Early.B 8726.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/8994b76b-6e1e-42d3-b07c-99abca3fa35b___RS_Early.B 7762.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/c53d85d7-bddb-422b-955c-6842cce9a927___RS_Early.B 7253.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/0d2e2971-f1c9-4278-b35c-91dd8a22a64d___RS_Early.B 7581.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/34d2260c-888c-419c-b32c-938efa379b97___RS_Early.B 8253.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/c3ce9bae-e62a-4dd9-afa0-f020c48b87cc___RS_Early.B 6704.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/f9580dc3-d5d9-4990-a64d-3974a9d1c687___RS_Early.B 8755.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/1cb05d87-027d-4bf0-b5c4-4c1a57896ac6___RS_Early.B 7936.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/bb4e9c01-6166-424d-a379-9ef405fdd555___RS_Early.B 6843.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/82048f32-5a2c-491c-8771-109a1024fd5a___RS_Early.B 8199.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/37471260-d7b4-4ccd-901e-974332ef2eb9___RS_Early.B 7967.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/4efd8455-c6ef-4e25-abad-d4d273f84c28___RS_Early.B 8128.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/e11d63b8-93fa-41ba-b826-99811ee4c232___RS_Early.B 7387.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/6a74ff09-be5a-4412-a192-2370a37c0751___RS_Early.B 8584.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/c8a008b3-a81d-410c-97aa-94e92118e572___RS_Early.B 7616.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/58cb5c58-3161-4476-9361-3ee2673cc82b___RS_Early.B 7368.JPG,good
gs://inzynierka4-bucket1/plant-village2/good/f12d7916-b4f0-46f7-91bd-8dc097743149___RS_Early.B 8963.JPG,good
